Counterparty Type,Counterparty Category
Kho Bạc Nhà nước,Domestic Sovereign
Ngân hàng Phát triển,MDB
Ngân hàng Chính sách xã hội,Domestic Sovereign
Định chế tài chính,FIs
Công ty cổ phần,Corp
VAMC,Others
Ngân hàng Phát triển Việt Nam,Domestic Sovereign
Khách hàng cá nhân,Retail
Khách hàng doanh nghiệp,Corp
Doanh nghiệp tư nhân,Small Business Customer
Định chế tài chính,FIs
Small Business Customer,Small Business Customer
PSE,PSEs
Ngân hàng,FIs
"Doanh nghiệp thuộc lĩnh vực chứng khoán, bảo hiểm, tài chính",FIs
"Khách hàng thuộc lĩnh vực chứng khoán, bảo hiểm, tài chính",FIs
Khách hàng doanh nghiệp nhỏ,Small Business Customer
"Khách hàng cá nhân, Có Bảo hiểm tiền gửi",Retail
Ngân hàng Nhà nước ,Domestic Sovereign
NA,NA
NHNN-SGD,Domestic Sovereign
Cty tài chính,FIs
Khách hàng kinh doanh nhỏ,Small Business Customer
Chính Phủ,Domestic Sovereign
